datetime,high,low,close
2024/11/18,3577,3545,3566
2024/11/19,3618,3560,3578
2024/11/20,3622,3540,3606
2024/11/21,3602,3587,3591
2024/11/22,3630,3595,3630
2024/11/25,3627,3547,3576
2024/11/26,3616,3568,3598
2024/11/27,3644,3594,3605
2024/11/28,3609,3574,3603
2024/11/29,3608,3572,3607
2024/12/2,3650,3607,3616
2024/12/3,3650,3613,3644
2024/12/4,3797,3504,3660
2024/12/5,3664,3606,3627
2024/12/6,3628,3517,3517
2024/12/9,3570,3465,3555
2024/12/10,3567,3489,3507
2024/12/11,3654,3516,3582
2024/12/12,3637,3582,3619
2024/12/13,3651,3619,3633
2024/12/16,3610,3546,3587
2024/12/17,3613,3584,3597
2024/12/18,3594,3567,3567
2024/12/19,3584,3558,3567
2024/12/20,3820,3515,3577
2024/12/23,3579,3511,3549
2024/12/24,3575,3522,3522
2024/12/25,3565,3512,3531
2024/12/26,3569,3531,3558
2024/12/27,3635,3477,3601
2024/12/30,3601,3560,3580
2024/12/31,3580,3515,3550
